2026-01-10 18:17:14,488 | INFO | frame_grabber | Frame grabber запущено
2026-01-10 18:17:15,303 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 18:17:20,189 | INFO | frame_grabber | Frame grabber зупинено
2026-01-10 18:17:22,587 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-10 18:17:22,587 | INFO | frame_grabber | Frame grabber запущено
2026-01-10 18:17:22,806 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 18:17:25,174 | INFO | frame_grabber | Frame grabber зупинено
2026-01-10 18:17:27,216 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-10 18:17:27,216 | INFO | frame_grabber | Frame grabber запущено
2026-01-10 18:17:27,400 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 18:18:24,820 | INFO | frame_grabber | Frame grabber зупинено
2026-01-11 11:47:03,666 | INFO | scheduler | Планувальник запущено
2026-01-11 11:47:03,717 | INFO | scheduler | Заплановано щоденний запис о 09:00
2026-01-11 11:47:27,920 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-11 11:47:27,920 | INFO | frame_grabber | Frame grabber запущено
2026-01-11 11:47:29,023 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-11 11:47:39,141 | INFO | frame_grabber | Frame grabber зупинено
2026-01-11 11:47:42,008 | INFO | frame_grabber | Frame grabber запущено
2026-01-11 11:47:42,007 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-11 11:47:42,385 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-11 11:47:51,039 | INFO | frame_grabber | Frame grabber зупинено
2026-01-11 11:47:53,410 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-11 11:47:53,410 | INFO | frame_grabber | Frame grabber запущено
2026-01-11 11:47:53,617 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
